month,day,year,capture_time,release_time,band_number,species,age,sex,wing_mm,weight_g,culmen_mm,hallux_mm,tail_mm,standard_tail_mm,tarsus_mm,wing_pit_fat,keel_fat,crop
9,23,1995,10:10, ,1387-79175,Red-tailed,Imature,NA,381,1025,25.4,30.8,232,NA,NA,NA,NA,NA
9,26,1995,11:05, ,1387-79176,Red-tailed,Adult,NA,350,940,26,29.1,205,NA,NA,NA,NA,NA
9,26,1995,13:03, ,1387-79177,Red-tailed,Imature,NA,398,1240,28.5,30.8,243,NA,NA,NA,NA,NA
9,26,1995,12:55, ,1207-64625,Red-tailed,Imature,NA,412,1160,27.8,33,255,NA,NA,NA,NA,NA
9,26,1995,13:55, ,2003-58467,Sharp-shinned,Imature,Female,203,150,11.5,13.9,159,NA,NA,NA,NA,NA
9,27,1995,9:40, ,2003-58468,Sharp-shinned,Imature,Female,201,130,11.7,14.4,156,NA,NA,NA,NA,NA
9,27,1995,12:50, ,1387-79178,Red-tailed,Imature,NA,411,1240,26.8,32.7,276,NA,NA,NA,NA,NA
9,27,1995,13:55, ,1807-53104,Red-tailed,Imature,NA,373,930,24.4,27.4,210,NA,NA,NA,NA,NA
10,1,1995,10:15, ,1423-16221,Sharp-shinned,Imature,Male,178,90,10.9,12.1,145,NA,NA,NA,NA,NA
10,1,1995,12:04, ,1207-64626,Red-tailed,Imature,NA,415,1240,25.6,31.2,231,NA,NA,NA,NA,NA
10,1,1995,12:50, ,1387-79179,Red-tailed,Imature,NA,383,1030,25.2,29.8,216,NA,NA,NA,NA,NA
10,2,1995,13:55, ,1705-24606,Coopers,Imature,Male,223,550,18.8,21.3,210,NA,NA,NA,NA,NA
10,3,1995,11:20, ,1387-79180,Red-tailed,Imature,NA,390,1250,26.5,32,210,NA,NA,NA,NA,NA
10,3,1995,11:45, ,1387-79181,Red-tailed,Imature,NA,390,999,25.3,29.8,220,NA,NA,NA,NA,NA
10,4,1995,12:20, ,1387-79182,Red-tailed,Adult,NA,365,1120,26.5,30.8,260,NA,NA,NA,NA,NA
10,4,1995,12:54, ,1387-79183,Red-tailed,Adult,NA,345,1000,26.4,30.1,200,NA,NA,NA,NA,NA
10,5,1995,11:08, ,1705-24607,Coopers,Imature,Female,273,530,19.2,24.7,213,NA,NA,NA,NA,NA
10,6,1995,12:15, ,1207-64627,Red-tailed,Imature,NA,400,1040,27.7,32.1,230,NA,NA,NA,NA,NA
10,6,1995,12:36, ,1207-64628,Red-tailed,Imature,NA,380,1150,27.8,31.1,220,NA,NA,NA,NA,NA
10,6,1995,13:05, ,1207-79184,Red-tailed,Imature,NA,330,1000,25.9,30.2,220,NA,NA,NA,NA,NA
10,6,1995,13:10, ,1207-64629,Red-tailed,Imature,NA,410,1360,33.3,28.6,235,NA,NA,NA,NA,NA
10,7,1995,12:00, ,1387-79185,Red-tailed,Imature,NA,313,930,25.7,28.9,215,NA,NA,NA,NA,NA
10,9,1995,11:35, ,1387-79186,Red-tailed,Imature,NA,384,980,25.8,30.4,215,NA,NA,NA,NA,NA
10,9,1995,11:50, ,1207-64660,Red-tailed,Imature,NA,409,1260,27.7,31.8,221,NA,NA,NA,NA,NA
10,9,1995,12:50, ,1387-79187,Red-tailed,Imature,NA,390,900,27.5,28.6,225,NA,NA,NA,NA,NA
10,10,1995,11:50, ,1207-64630,Red-tailed,Imature,NA,411,1300,25.9,31.9,238,NA,NA,NA,NA,NA
10,10,1995,14:25, ,1705-24608,Coopers,Imature,Female,259,470,16.6,23.4,221,NA,NA,NA,NA,NA
10,11,1995,14:25, ,1387-79188,Red-tailed,Adult,NA,380,1040,26.4,30.9,212,NA,NA,NA,NA,NA
10,11,1995,14:25, ,1387-79189,Red-tailed,Imature,NA,370,950,27.3,30.5,215,NA,NA,NA,NA,NA
10,11,1995,13:15, ,1387-79190,Red-tailed,Imature,NA,415,1320,29.4,33.9,235,NA,NA,NA,NA,NA
10,12,1995,10:37, ,1204-45807,Sharp-shinned,Imature,Female,215,180,14.1,12.7,132,NA,NA,NA,NA,NA
10,12,1995,13:20, ,1387-79191,Red-tailed,Imature,NA,410,1280,27.9,32.7,229,NA,NA,NA,NA,NA
10,12,1995,14:20, ,1387-79192,Red-tailed,Imature,NA,412,1310,26.1,31.1,251,NA,NA,NA,NA,NA
10,12,1995,14:30, ,1207-64631,Red-tailed,Adult,NA,384,910,26.4,28.4,215,NA,NA,NA,NA,NA
10,13,1995,12:05, ,1207-64632,Red-tailed,Imature,NA,404,1220,28.6,30.4,225,NA,NA,NA,NA,NA
10,13,1995,13:00, ,1387-79193,Red-tailed,Imature,NA,375,920,23.8,28.8,210,NA,NA,NA,NA,NA
10,13,1995,15:00, ,1387-79794,Red-tailed,Imature,NA,410,1135,26.4,32.4,267,NA,NA,NA,NA,NA
10,14,1995,10:05, ,1387-79195,Red-tailed,Imature,NA,384,940,26.2,29.8,220,NA,NA,NA,NA,NA
10,14,1995,13:25, ,1207-64634,Red-tailed,Imature,NA,385,920,25,32.2,238,NA,NA,NA,NA,NA
10,14,1995,13:40, ,1387-79196,Red-tailed,Imature,NA,398,1280,28,32.4,248,NA,NA,NA,NA,NA
10,15,1995,14:20, , ,Coopers,Adult,NA,NA,480,17.7,32.1,198,NA,NA,NA,NA,NA
10,15,1995,14:30, ,1387-79197,Red-tailed,Imature,NA,425,1220,27.3,33,241,NA,NA,NA,NA,NA
10,15,1995,15:00, ,1397-79198,Red-tailed,Imature,NA,401,1000,26.7,28,212,NA,NA,NA,NA,NA
10,16,1995,12:35, ,1387-79172,Red-tailed,Imature,NA,387,1120,26.8,50.2,221,NA,NA,NA,NA,NA
10,16,1995,13:33, ,1807-53105,Red-tailed,Imature,NA,376,925,26,30.8,233,NA,NA,NA,NA,NA
10,17,1995,11:10, ,1423-16223,Sharp-shinned,Adult,Male,171,90,9.9,11.9,138,NA,NA,NA,NA,NA
10,17,1995,11:45, ,1207-64635,Red-tailed,Adult,NA,420,1280,27.5,31.8,230,NA,NA,NA,NA,NA
10,18,1995,12:20, ,877-76379,Red-tailed,Imature,NA,385,985,27.5,30.8,223,NA,NA,NA,NA,NA
10,18,1995,13:05, ,2107-64631,Red-tailed,Imature,NA,405,1350,28.3,32.6,226,NA,NA,NA,NA,NA
10,18,1995,13:15, ,1807-53107,Red-tailed,Imature,NA,350,730,24.6,25.7,208,NA,NA,NA,NA,NA
10,18,1995,12:00, ,1387-79200,Red-tailed,Imature,NA,388,890,27.8,31.2,231,NA,NA,NA,NA,NA
10,18,1995,12:02, ,877-76380,Red-tailed,Imature,NA,398,1020,26.5,31.1,217,NA,NA,NA,NA,NA
10,20,1995,10:10, ,1207-64637,Red-tailed,Adult,NA,410,1000,27.1,30.6,230,NA,NA,NA,NA,NA
10,23,1995,10:30, ,2003-58469,Sharp-shinned,Imature,Female,202,150,11.7,14.1,153,NA,NA,NA,NA,NA
10,23,1995,12:20, ,1343-78405,Sharp-shinned,Imature,Female,204,180,11.5,12.4,186,NA,NA,NA,NA,NA
11,2,1995,12:05, ,8777-63481,Red-tailed,Adult,NA,382,1020,26.5,29.4,225,NA,NA,NA,NA,NA
11,2,1995,13:00, ,1207-64638,Red-tailed,Imature,NA,111,1340,26.85,31.9,226,NA,NA,NA,NA,NA
11,20,1995,14:10, ,1207-64639,Red-tailed,Imature,NA,396,1300,27.3,30.5,214,NA,NA,NA,NA,NA
11,21,1995,11:45, ,8777-6382,Red-tailed,Imature,NA,363,1015,25.5,30.1,242,NA,NA,NA,NA,NA
10,2,1996,9:47, ,1807-53108,Red-tailed,Imature,NA,360,900,30.5,28.8,220,NA,NA,NA,NA,NA
10,10,1996,10:45, ,1207-64640,Red-tailed,Imature,NA,390,1000,26.1,29.6,250,NA,NA,NA,NA,NA
10,10,1996,11:07, ,1204-45808,Sharp-shinned,Imature,Male,195,150,12.3,14.6,178,NA,NA,NA,NA,NA
10,10,1996,12:15, ,1207-64641,Red-tailed,Adult,NA,390,1050,24.8,32.5,220,NA,NA,NA,NA,NA
10,10,1996,13:20, ,1207-64642,Red-tailed,Imature,NA,380,950,24.9,29,240,NA,NA,NA,NA,NA
10,14,1996,9:40, ,1705-24609,Coopers,Imature,Male,225,350,12.6,26,215,NA,NA,NA,NA,NA
10,17,1996,13:05, ,1705-24610,Coopers,Adult,Male,247,375,16.9,18.2,160,NA,NA,NA,NA,NA
10,18,1996,10:58, ,1207-64643,Red-tailed,Adult,NA,415,1175,28.3,33.2,230,NA,NA,NA,NA,NA
10,23,1996,9:25, ,1387-92101,Red-tailed,Imature,NA,354,980,25.8,29.3,220,NA,NA,NA,NA,NA
10,24,1996,10:35, ,1387-92102,Red-tailed,Adult,NA,417,1260,29,32.8,234,NA,NA,NA,NA,NA
10,24,1996,11:18, ,1387-92103,Red-tailed,Imature,NA,379,1050,25.9,31.3,226,NA,NA,NA,NA,NA
10,25,1996,10:40, ,1207-64644,Red-tailed,Adult,NA,412,1330,29.2,32.2,218,NA,NA,NA,NA,NA
10,27,1996,16:16, ,1387-92104,Red-tailed,Adult,NA,377,980,28,29.1,209,NA,NA,NA,NA,NA
10,28,1996,12:40, ,1387-92105,Red-tailed,Imature,NA,372,920,25.3,30,228,NA,NA,NA,NA,NA
10,30,1996,9:25, , ,Red-tailed,Imature,NA,420,1540,29.9,35.5,235,NA,NA,NA,NA,NA
10,30,1996,11:30, ,1387-92106,Red-tailed,Imature,NA,368,1060,25.5,26.9,223,NA,NA,NA,NA,NA
11,1,1996,14:05, ,1207-64645,Red-tailed,Imature,NA,406,1420,29.9,32,245,NA,NA,NA,NA,NA
11,7,1996,13:20, ,1705-24611,Coopers,Imature,Male,225,400,15,20,202,NA,NA,NA,NA,NA
9,9,1997,12:01, ,1387-92125,Red-tailed,Imature,NA,392,1142,27.2,33,235,244,89.3,0,1,Empty
9,9,1997,13:06,13:26,2003-58576,Sharp-shinned,Imature,Female,191,157,12,13.8,158,162,57,2,2,Empty
9,10,1997,10:39,10:53,1423-16276,Sharp-shinned,Imature,Male,161,98,10.3,11.7,133,137,48.4,1,2,NA
9,10,1997,14:35,14:50,1387-92127,Red-tailed,Imature,NA,365,813,26.2,30.1,221,224,86.6,0,0,Empty
9,11,1997,10:05,10:32,1423-16277,Sharp-shinned,Imature,Male,156,94,9.9,11.4,125,129,48.6,1,2,NA
9,12,1997,11:00,10:20,2003-58577,Sharp-shinned,Imature,Female,191,155,16.5,14.4,158,161,54.3,0,1,Empty
9,14,1997,10:46,11:00,2003-58578,Sharp-shinned,Imature,Female,198,181,12.5,14.1,159,164,56,2,2,Empty
9,14,1997,12:35,12:50,872-09631,Sharp-shinned,Imature,Male,160,92,9.8,11,132,135,48.3,2,1,Empty
9,17,1997,12:26,13:10,872-09633,Sharp-shinned,Imature,Male,164,98,10.1,11.4,136,138,50.5,2,1,Empty
9,17,1997,13:04,13:45,1387-92128,Red-tailed,Imature,NA,352,1024,26.6,30.3,216,225,90.2,0,0,Empty
9,17,1997,15:02,14:07,1705-24626,Coopers,Imature,Female,265,464,19.2,24.1,225,229,73.3,0,0,Empty
9,18,1997,11:16,11:28,872-09634,Sharp-shinned,Imature,Male,163,100,10.4,11.2,137,139,44.5,1,1,NA
9,18,1997,14:33,14:45,1423-16228,Sharp-shinned,Imature,Female,193,186,12.8,14,155,159,57.6,3,2,NA
9,19,1997,13:05,13:36,1423-16229,Sharp-shinned,Imature,Female,190,164,11.9,14.5,155,160,57.5,2,1,Empty
9,20,1997,10:30,10:42,972-04635,Sharp-shinned,Imature,Male,165,98,10.1,11.4,138,142,50.2,0,1,Empty
9,21,1997,10:56,11:22,972-09636,Sharp-shinned,Imature,Male,162,NA,NA,NA,130,NA,NA,2,1,NA
9,21,1997,11:42,11:50,1426-16230,Sharp-shinned,Adult,Female,198,158,12.1,14.5,154,160,55,0,1,Empty
9,21,1997,11:55,12:07,1387-92129,Red-tailed,Imature,NA,370,1023,25.8,30.1,216,228,82.8,1,0,NA
9,23,1997,13:35,11:55,1202-72601,Red-tailed,Imature,NA,230,340,16.5,30.5,200,225,85.5,0,0,NA
9,23,1997,11:43,12:09,1705-24627,Coopers,Imature,Male,194,163,12.2,20,158,206,67.5,2,1,Empty
9,23,1997,12:00,12:24,1423-16231,Sharp-shinned,Imature,Female,157,92,9.8,14.7,132,160,55,1,1,Empty
9,23,1997,12:13,10:50,872-09638,Sharp-shinned,Imature,Male,260,550,19.5,11.2,215,136,49.8,1,0,Empty
9,24,1997,10:19, ,1705-24628,Coopers,Adult,Female,377,1119,25.4,23.9,226,224,24.7,1,1,Full
9,24,1997,11:20, ,1387-92130,Red-tailed,Imature,NA,364,917,26,29.6,216,225,85.1,0,0,Empty
9,25,1997,10:45, ,1387-92131,Red-tailed,Imature,NA,367,946,26.7,28.9,221,232,88.9,0,1,Empty
9,25,1997,11:00, ,1387-92132,Red-tailed,Imature,NA,233,337,15.7,31.9,196,225,87.4,0,0,NA
9,25,1997,12:05, ,1204-45809,Coopers,Imature,Male,336,742,23.4,18.8,221,205,67.2,0,0,Empty
9,26,1997,10:10, ,1423-16233,Sharp-shinned,Imature,Female,259,439,18.8,15.2,218,171,57,0,0,Empty
9,26,1997,10:59, ,1705-24629,Coopers,Imature,Female,199,187,12.2,24.2,157,221,74.4,1,1,NA
9,26,1997,13:35,13:52,1423-16232,Sharp-shinned,Imature,Female,165,92,9.7,14.6,135,162,56.5,2,1,Empty
9,26,1997,13:36,14:40,872-09639,Sharp-shinned,Imature,Male,370,1094,27.3,11.5,221,139,47.7,1,0,Empty
9,26,1997,14:26, ,1387-92133,Red-tailed,Imature,NA,362,832,23.8,32.6,210,230,87.1,0,1,Empty
9,30,1997,12:10, ,1207-72602,Red-tailed,Adult,NA,368,1244,NA,NA,220,NA,NA,NA,NA,NA
9,30,1997,12:50, ,1387-92134,Red-tailed,Imature,NA,368,1244,26.7,30.2,220,228,85.4,1,1,Empty
10,1,1997,10:50,11:00,1387-92135,Red-tailed,Imature,NA,367,974,25.2,29.6,221,240,85.2,0,0,Empty
10,1,1997,11:58,12:27,1387-92136,Red-tailed,Imature,NA,400,1289,28.6,32.1,242,261,86.9,0,0,Empty
10,1,1997,12:25,12:41,1387-92137,Red-tailed,Imature,NA,379,999,28.3,32,220,238,90.1,0,1,Empty
10,1,1997,12:32,12:59,1387-92138,Red-tailed,Imature,NA,360,994,26.5,30.4,210,232,84.8,0,1,Empty
10,1,1997,12:57,13:14,1387-92139,Red-tailed,Imature,NA,362,1004,27,31.4,221,240,86.8,0,1,Empty
10,2,1997,11:52,12:05,1387-92140,Red-tailed,Imature,NA,378,1097,28.9,33.4,236,244,91.3,0,1,Empty
10,2,1997,13:17,13:32,1423-16234,Sharp-shinned,Imature,Female,201,185,13.1,14.5,162,167,58.1,1,1,Empty
10,6,1997,12:01,12:21,1423-16235,Sharp-shinned,Imature,Male,193,181,12.8,11.5,150,152,52.4,0,0,Empty
10,6,1997,14:08,14:37,1387-92141,Red-tailed,Imature,NA,372,1092,27.2,31.8,235,239,85.2,0,1,Empty
10,8,1997,10:00,10:25,1387-92142,Red-tailed,Imature,NA,369,1049,30.1,32,231,240,84.9,0,0,Empty
10,8,1997,11:52,12:13,1387-92143,Red-tailed,Imature,NA,354,998,27.2,29.2,227,234,81.7,1,1,Empty
10,9,1997,9:57,11:07,1387-92144,Red-tailed,Imature,NA,367,1091,31.8,34.2,238,249,91.7,0,0,Empty
10,9,1997,13:00,13:32,1387-92145,Red-tailed,Imature,NA,349,987,29,31.1,225,237,89,0,0,Empty
10,9,1997,13:27,13:57,1387-92146,Red-tailed,Imature,NA,375,1151,34.1,33.7,249,250,94,1,1,NA
10,9,1997,14:27,14:50,1387-92147,Red-tailed,Imature,NA,343,971,25.1,26.1,213,224,79.3,0,0,Empty
10,9,1997,14:58,15:15,1387-92148,Red-tailed,Imature,NA,360,1159,32.9,34,240,252,91.2,1,1,Empty
10,10,1997,11:45,12:00,1387-92149,Red-tailed,Imature,NA,395,1239,26.7,33.2,231,243,90.3,0,2,Empty
10,10,1997,11:55,12:08,1397-92150,Red-tailed,Imature,NA,400,1216,28.5,32.1,227,239,84.4,0,2,Empty
10,10,1997,12:10,12:30,1423-16236,Sharp-shinned,Adult,Female,170,177,12.3,14.4,155,165,54.6,3,2,Empty
10,13,1997,14:21,14:45,1705-24630,Coopers,Imature,Female,268,469,20,24.9,227,232,75.3,1,1,Empty
10,14,1997,11:52,12:05,1387-92151,Red-tailed,Imature,NA,369,1039,26.9,29.5,223,245,87.4,1,2,Empty
10,14,1997,14:15,14:30,1387-92152,Red-tailed,Imature,NA,365,1079,25.2,30,228,239,86.2,0,0,Empty
10,16,1997,13:05,13:25,1387-92153,Red-tailed,Adult,NA,375,1159,33.8,32.7,242,252,91,1,0,Empty
10,17,1997,10:00, ,1423-16238,Sharp-shinned,Imature,Male,230,162,12.3,13.8,149,153,52.5,0,0,Empty
10,17,1997,14:35,15:00,12044-5876,Coopers,Adult,Male,213,339,23.5,13.8,184,181,71.2,0,1,Empty
10,20,1997,11:21,11:35,1387-92154,Red-tailed,Adult,NA,382,1403,34.9,34.7,247,259,92.5,0,1,Full
10,20,1997,12:34,12:50,1423-16239,Sharp-shinned,Imature,Male,168,175,12.9,14,158,167,55.9,2,2,Empty
10,20,1997,12:49,13:05,1387-92155,Red-tailed,Adult,NA,478,1473,39.2,44.7,267,272,NA,2,2,NA
10,20,1997,13:05,13:20,1387-92157,Red-tailed,Imature,NA,469,1001,29.9,43.2,257,269,NA,1,0,Empty
10,21,1997,12:16,12:33,1423-16278,Sharp-shinned,Imature,Male,172,98,8.7,10.9,148,148,53.4,1,0,Empty
10,21,1997,13:47,14:10,1387-92156,Red-tailed,Imature,NA,373,914,25.9,30.4,221,251,93.7,1,1,NA
10,23,1997,12:10,12:36,1387-92158,Red-tailed,Adult,NA,386,1059,25.5,30.5,214,227,92.5,NA,1,NA
10,23,1997,14:36,15:03,1207-72603,Red-tailed,Imature,NA,384,1147,29,35,229,236,91.9,NA,NA,NA
10,31,1997,11:00,11:47,1807-53127,Red-tailed,Imature,NA,351,949,26.8,29.7,213,216,NA,0,0,Empty
10,31,1997,11:50,12:14,872-09640,Sharp-shinned,Imature,Male,168,102,9.6,11.9,138,136,50,2,1,Empty
11,1,1997,12:21,12:34,1807-53128,Red-tailed,Imature,NA,363,973,24.8,27.3,213,220,84.1,0,1,NA
11,1,1997,14:22,14:34,1423-16240,Sharp-shinned,Imature,Female,199,196,12.4,15.2,158,163,56.5,2,2,NA
11,3,1997,11:30,12:01,12044-5877,Coopers,Imature,Male,235,327,16.5,20.3,193,196,69.2,1,1,Empty
11,3,1997,12:15, ,1387-92159,Red-tailed,Adult,NA,374,1064,26,32.1,201,210,85.2,1,1,NA
11,3,1997,12:52, ,1807-53129,Red-tailed,Imature,NA,369,749,24,26.8,216,224,60.1,0,0,Empty
11,6,1997,11:22,11:41,1343-78476,Sharp-shinned,Imature,Female,202,201,11.7,14.9,165,166,56.8,3,2,Empty
11,7,1997,11:26,11:46,1423-16241,Sharp-shinned,Imature,Female,202,180,12.4,14.1,160,164,55.3,2,2,Empty
11,10,1997,12:30,12:49,1387-92160,Red-tailed,Imature,NA,374,1213,24.9,28,244,218,87.9,1,2,Empty
11,11,1997,11:10,11:35,1387-92161,Red-tailed,Imature,NA,389,1200,28.2,30.8,230,240,81.7,2,1,Empty
11,15,1997,12:54,13:08,1387-92162,Red-tailed,Imature,NA,379,1040,25.3,29.4,227,234,80.8,1,0,Empty
11,18,1997,11:25, ,872-09641,Sharp-shinned,Imature,Male,170,113,10.6,11.1,139,141,54,0,1,Empty
9,20,1998,14:45, ,1387-92166,Red-tailed,Imature,NA,373,919,24.2,28.5,233,NA,NA,NA,NA,NA
9,21,1998,11:45, ,1207-72604,Red-tailed,Imature,NA,403,1487,26,32.5,240,NA,NA,NA,NA,NA
10,1,1998,10:42, ,1207-72606,Red-tailed,Imature,NA,400,1254,25.2,30,237,NA,NA,NA,NA,NA
10,8,1998,9:45, ,2003-58581,Sharp-shinned,Adult,Female,205,156,10.8,14.1,144,NA,NA,NA,NA,NA
10,8,1998,10:45, ,1207-72607,Red-tailed,Imature,NA,405,1189,27.7,31.3,210,NA,NA,NA,NA,NA
10,8,1998,14:10, ,1387-92173,Red-tailed,Imature,NA,382,979,24.8,27.9,225,NA,NA,NA,NA,NA
10,9,1998,11:15, ,1142-19209,Sharp-shinned,Adult,Male,165,96,10.7,11.4,125,NA,NA,NA,NA,NA
10,9,1998,12:10, ,1387-92174,Red-tailed,Imature,NA,407,1339,27.3,33.4,246,NA,NA,NA,NA,NA
10,9,1998,12:25, ,1387-92175,Red-tailed,Imature,NA,403,1199,28.8,31,225,NA,NA,NA,NA,NA
10,10,1998,11:00, ,1207-72608,Red-tailed,Imature,NA,406,1344,27.9,33.1,230,NA,NA,NA,NA,NA
10,10,1998,12:05, ,1387-92196,Red-tailed,Imature,NA,381,969,26.1,31.1,220,NA,NA,NA,NA,NA
10,12,1998,10:15, ,1387-92177,Red-tailed,Imature,NA,395,1039,26,29.7,230,NA,NA,NA,NA,NA
10,12,1998,11:45, ,1207-72609,Red-tailed,Imature,NA,410,1054,28.5,31.5,233,NA,NA,NA,NA,NA
10,12,1998,14:30, ,1204-45878,Coopers,Adult,Female,243,334,17.5,19.2,196,NA,NA,NA,NA,NA
10,14,1998,13:30, ,1423-16242,Sharp-shinned,Imature,Male,170,101,9.8,11,135,NA,NA,NA,NA,NA
10,15,1998,14:35, ,1343-78477,Sharp-shinned,Adult,Female,210,181,12.2,15,170,NA,NA,NA,NA,NA
10,21,1998,10:40, ,1207-72610,Red-tailed,Adult,NA,425,1449,30.3,33,232,NA,NA,NA,NA,NA
10,22,1998,14:01, ,1387-92178,Red-tailed,Imature,NA,402,985,26.6,29.8,234,NA,NA,NA,NA,NA
10,26,1998,10:17, ,1387-92180,Red-tailed,Adult,NA,480,1598,34.2,35.4,239,NA,NA,NA,NA,NA
10,26,1998,12:15, ,1387-92181,Red-tailed,Imature,NA,412,992,30.1,31.5,230,NA,NA,NA,NA,NA
10,29,1998,10:25, ,1705-24634,Coopers,Imature,Female,260,569,19.1,24,227,NA,NA,NA,NA,NA
11,2,1998,11:55, ,1207-72611,Red-tailed,Adult,NA,381,1354,28.2,32,213,NA,NA,NA,NA,NA
11,3,1998,14:53, ,1207-72612,Red-tailed,Adult,NA,392,969,25.9,29,207,NA,NA,NA,NA,NA
11,4,1998,10:35, ,9387-92182,Red-tailed,Imature,NA,382,1080,25.3,31,214,NA,NA,NA,NA,NA
11,4,1998,12:10, ,1343-78478,Sharp-shinned,Adult,Female,196,185,12.5,14,146,NA,NA,NA,NA,NA
11,9,1998,1:31, ,1387-92183,Red-tailed,Adult,NA,391,1097,27.9,32.8,217,NA,NA,NA,NA,NA
11,11,1998,11:48, ,1207-72613,Red-tailed,Adult,NA,397,1439,28.8,31.4,216,NA,NA,NA,NA,NA
11,11,1998,12:52, ,1807-53130,Red-tailed,Imature,NA,361,NA,24.4,27.9,214,NA,NA,NA,NA,NA
11,11,1998,14:15, ,1387-92184,Red-tailed,Imature,NA,376,1019,25.8,29.5,216,NA,NA,NA,NA,NA
11,12,1998,14:00, ,1207-726114,Red-tailed,Adult,NA,410,1239,29.5,31.8,222,NA,NA,NA,NA,NA
11,18,1998,11:30, ,1207-72615,Red-tailed,Imature,NA,381,1399,27.6,31.3,288,NA,NA,NA,NA,NA
11,19,1998,13:07, ,1387-92185,Red-tailed,Imature,NA,396,1169,27.5,25.2,238,NA,NA,NA,NA,NA
11,20,1998,10:30, ,1387-92186,Red-tailed,Imature,NA,383,1164,27,29.9,199,NA,NA,NA,NA,NA
11,20,1998,11:52, ,1343-78479,Sharp-shinned,Imature,Female,203,176,11.5,14.7,161,NA,NA,NA,NA,NA
9,5,1999,11:35, ,1387-92187,Red-tailed,Imature,NA,271,NA,27.4,33,235,236,NA,NA,2,Empty
9,7,1999,11:00, ,1205-24636,Coopers,Imature,Female,255,429,19,22.9,208,216,NA,NA,NA,NA
9,10,1999,11:05, ,1423-16243,Sharp-shinned,Imature,Female,196,160,12.3,14.7,137,136,NA,NA,4,Full
9,13,1999,10:15, ,872-09646,Sharp-shinned,Imature,Male,168,105,10.2,11,143,139,NA,NA,2,Empty
9,14,1999,15:30, ,1387-92188,Red-tailed,Imature,NA,392,890,24.1,29.2,219,200,NA,NA,0,Full
9,16,1999,12:08, ,1142-19210,Sharp-shinned,Imature,Male,163,100,9.7,11.6,128,115,NA,NA,2,Full
9,18,1999,11:10, ,2003-99306,Sharp-shinned,Imature,Female,205,NA,13.7,15,161,164,NA,NA,NA,NA
9,18,1999,12:08, ,1207-72616,Red-tailed,Imature,NA,395,1215,28.3,33,236,240,NA,NA,2,Full
9,18,1999,15:08, ,1142-19211,Sharp-shinned,Imature,Male,163,100,9.9,11.3,131,137,NA,NA,3,NA
9,18,1999,15:45, ,1387-92189,Red-tailed,Imature,NA,370,1030,27.6,31.4,225,227,NA,NA,2,Empty
9,20,1999,10:17, ,1204-45867,Coopers,Adult,Male,225,340,15.7,19.4,190,198,NA,NA,2,Full
9,21,1999,12:12, ,1213-58901,Sharp-shinned,Imature,Female,197,165,11.9,9.6,150,152,NA,NA,1,Empty
9,21,1999,13:00, ,1387-92190,Red-tailed,Imature,NA,376,985,26.4,30.3,223,219,NA,NA,1,Empty
9,22,1999,10:55, ,1387-92191,Red-tailed,Imature,NA,372,975,26.5,31.6,225,220,NA,NA,1,NA
9,23,1999,11:11, ,1207-72617,Red-tailed,Imature,NA,391,1165,28.2,32.4,241,241,NA,NA,1,Full
9,24,1999,12:30, ,1142-19212,Sharp-shinned,Imature,NA,165,95,9.7,11.2,136,138,NA,NA,1,Full
9,24,1999,14:24, ,1387-92192,Red-tailed,Imature,NA,364,1044,23.5,29,210,222,NA,NA,1,Full
9,25,1999,11:35, ,2003-99307,Sharp-shinned,Adult,Female,202,180,12.9,15,160,158,NA,NA,3,Empty
9,25,1999,12:00, ,1142-19213,Sharp-shinned,Imature,Male,163,125,9.7,10.9,135,131,NA,NA,2,Full
9,25,1999,12:35, ,1387-92193,Red-tailed,Imature,Male,381,1080,NA,32.3,223,216,NA,NA,NA,NA
9,25,1999,14:10, ,1387-92194,Red-tailed,Imature,NA,375,890,24.6,28,219,216,NA,NA,NA,NA
9,26,1999,12:55, ,1387-92195,Red-tailed,Imature,NA,392,1105,26.4,33.6,229,225,NA,NA,NA,NA
9,29,1999,13:08, ,1207-72618,Red-tailed,Adult,NA,398,1310,28.3,35.2,211,217,NA,NA,2,Empty
9,30,1999,9:20, ,1387-19197,Red-tailed,Imature,NA,371,895,26.8,31,204,206,NA,NA,1,Empty
9,30,1999,12:31, ,1387-19298,Red-tailed,Adult,NA,367,1060,26.8,31,204,206,NA,NA,3,Full
9,30,1999,13:10, ,2003-99308,Sharp-shinned,Adult,Female,193,165,13.2,14.6,146,156,NA,NA,1,Empty
10,2,1999,10:25, ,1387-19299,Red-tailed,Adult,NA,375,960,28.9,29.3,214,202,NA,NA,NA,NA
10,4,1999,13:21, ,1387-19220,Red-tailed,Imature,NA,408,1270,29.4,33,236,231,NA,NA,1,Full
10,4,1999,15:10, ,22-06-35428,Coopers,Adult,Female,252,540,20,28.8,185,211,NA,NA,1,Full
10,5,1999,9:38, ,1204-45868,Coopers,Adult,Male,237,365,17.3,19.9,195,191,NA,NA,3,NA
10,5,1999,10:43, ,1177-04601,Red-tailed,Imature,NA,399,1170,28.3,29.9,247,236,NA,NA,0,NA
10,6,1999,9:45, ,1705-24637,Coopers,Adult,Female,268,590,20,19.9,215,206,NA,NA,2,NA
10,7,1999,12:40, ,1207-72619,Red-tailed,Imature,NA,388,1225,29,31.5,227,219,NA,NA,3,Empty
